serial,uuid
A1-1A,8eb94a96-886f-6655-b7fd-799d1cd1f216
A1-1B,60b94a96-89c5-145a-66bd-46277a142cd1
A1-1C,b4b94a96-8b3e-f0af-51d6-f850cbbd734b
A1-1D,60b94a96-8c85-b406-f594-72b5de3e99ef
A1-1E,f6b94a96-8dab-63b7-a8a7-f968dc74a016
A1-1G,9ab94a96-8ec6-07e1-5c5d-9e8af8c32c91
A1-1H,76b94a96-8fff-d27f-7653-bcf57497cb26
A1-1J,1cb94a96-913b-43a1-665f-1c76fe1a4c71
A1-1K,7ccbb20f-d1c7-0fec-78f6-7b0ef56272a9
A1-1L,bacbb20f-d228-f0a4-738c-56ea51c2ea4f
A1-2A,2ab94a96-88b6-8707-3a58-bd1bff9f81e8
A1-2B,0eb94a96-8a29-a825-d9eb-52414d2c70d0
A1-2C,eab94a96-8b8b-5b44-5e30-a0df4b512b29
A1-2D,0cb94a96-8cd5-9f57-b7ab-bf795ed90784
A1-2E,e2b94a96-8dee-737e-0440-c995a928fe57
A1-2G,6ab94a96-8f0d-ff79-dc16-cf6376d899f2
A1-2H,82b94a96-903e-ba0b-6a9e-f2b257ca32f6
A1-2J,32b94a96-917f-f452-c3b5-845ff9e9b3ba
A1-2K,62cbb20f-d286-ece0-7232-58fbbb7217ed
A1-2L,cccbb20f-d2d2-1c89-1427-3f63fa06ed64
A1-3A,feb94a96-88ff-8380-80c6-294ede0e7051
A1-3B,c2b94a96-8a7c-931e-d633-f5e826fe2434
A1-3C,3eb94a96-8bd8-f993-b362-af00f4da5bf7
A1-3D,f4b94a96-8d1d-b523-ea16-6055f2d1c9eb
A1-3E,bab94a96-8e34-e27c-f632-984d2132e172
A1-3G,2eb94a96-8f6c-b4b1-60be-5bbd9658c941
A1-3H,e6b94a96-908f-abb2-d5df-94b2ff0ec21c
A1-3J,c6b94a96-91de-e881-13af-a1e01833918a
A1-4A,c8b94a96-895d-fd85-6850-8a831895a997
A1-4B,c0b94a96-8aef-a286-ad9b-aea4120ffff7
A1-4C,e6b94a96-8c20-bffc-20f8-2d76ad3d2d68
A1-4D,b6b94a96-8d61-040a-3a79-3203bd03e9d8
A1-4E,20b94a96-8e7f-c089-c3dc-0dab57457d7c
A1-4G,00b94a96-8fbc-a5d2-12dd-6963c4320ebe
